airline_sentiment,text
neutral,hi premium ec upgrade pay amp mileage bf upgrade do prem eco upgrade fare refund
neutral,deaffriendly get read review httptcobrtathau httptcowznpqmh
negative,follow baggage rule website still charge go one way
negative,send dm hour ago
negative,need track lose luggage ship need ph human automate
neutral,dm conf receive
negative,weigh check bag
neutral,still wait response whether allow use rear facing car seat erj
negative,nonrefundable hence write doesnt make sense credit nothanks
negative,website day yesterday try x put info inampdidnt go thru today flight buy go
negative,realize wife wait delayed flight moment im sure understand tweet
negative,im minor freak bc might make connect flight hawaii yes im frustrate
positive,sorry end u air flight thank though get back
negative,deny sure charge one way way hime
neutral,estellevw need complain twitter refund autoapplied
negative,even change could make online instruct call agent maybe syastem allow agent link passenger
negative,case id
neutral,pricey chase mileage plus cc
negative,airbus seat awful dont recline
negative,dm follow im plus theyre option thats fly epicfail
positive,great way start vacation time departure look forward global first class suite
neutral,emboss badge patch superior one currently use httptcofqxelbon
negative,sit plane hour schedule takeoff without cloud sky keepusguessing isthisyourfirsttry
positive,thank respond promptly look forward km drive office file claim
positive,would great
neutral,death family make flight tomorrow phone rep quote per person fee almost cost ticket help
negative,airplane otherwise would call police flight take ham
negative,perfectomobile huh send crash report feb alone one day app consistently crash
negative,abuse threaten force travel low cabine last seat yesterday flight houston sao paulo
positive,youre welcome
negative,contact yesterday tell theres nothing suggest email compensation cust service
neutral,im ua k think iamtedking look help
neutral,re fsqthg thanks
negative,unfortunately doesnt help automate computer
positive,flt ewr sfo excellent service friendly flight attendant make flight good start day
positive,yes therealaviation instagram
neutral,perfectomobile really shouldnt use word crashing sayin
negative,airline delay flight way chicago leave chicago next time delta
negative,inquire nothing itpretend theyre interested respond dm response back
neutral,need assistance change flight get ail parent flight leave tuesday need change asap sooner custserv
negative,must stop relationship youve become greedy heartless long term relationship
negative,customer service lack owe gopro camera also appreciate interrupt every time speak thanks
neutral,need follow order dm
negative,get refund would like book good airline
negative,call discuss tell united phone contact passenger absurd
negative,message request call baggage team still newark please help let know next step
neutral,airline change mileageplus program march httptcoojeptw
neutral,one club lax terminal across gate
neutral,perfectomobile definately award employer year unite
negative,guess thats busy route base trafficfuel cost regional jet decision still great traveler
negative,flight delay minute ord plane didnt food fix future dumb delay
neutral,need change flight tuesday sooner attend ail parent fl need help custserv
negative,need chat actual human asap
neutral,already email didnt know expedient contact please advise thanks
negative,get email say change mileageplus account confirm didnt make change help
neutral,yes land
positive,joni great job flight lax thanks great flight
positive,far good step denver next stop portland
negative,disappoint service miss connection hour delay cramp seat least app good
negative,joke hang customer
negative,charge one way baggagefind others leave pittsburgh equipment werent charge hang
positive,orthodoc oncall inflight glad service
negative,publicly ask detail flt send dm like ask yet day hear unitedfail
positive,flight attendant regains karma give big sweaty dad cold water guy run amp carry daughter last one onboard
negative,really hop get help th attempt get resolution lose count transfer help please mileageplus
neutral,iamtedking httptcouczzpyphk click lounge tab need fly support sa airline
negative,send dm file reference number want know someone locate bag even yet
positive,want shout thank pilot staff feb flight newark boston pm super helpful
